epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3915,0,21.291,0,0,0,0,0,0,23.4746,0,0.00017148,0.00017148,0.00017148
2,21.3869,0,20.6001,0,0,0,0,0,0,23.1593,0,0.000345461,0.000345461,0.000345461
3,31.5512,0,19.8194,0,0,0,0,0,0,22.6398,0,0.000507181,0.000507181,0.000507181
4,41.887,0,19.0734,0,0,0,0,0,0,22.115,0,0.00065664,0.00065664,0.00065664
5,51.9461,0,18.34,0,0,0,0,0,0,21.3624,0,0.000793838,0.000793838,0.000793838
6,69.2838,0,17.614,0,0,0,0,0,0,20.5257,0,0.000918776,0.000918776,0.000918776
